"statistikkvariabel"	"statistikkmål"	"yrke"	"sektor"	"næring (SN2007)"	"kjønn"	"2015 I alt"	"2015 Heltidsansatte"	"2015 Deltidsansatte"	"2016 I alt"	"2016 Heltidsansatte"	"2016 Deltidsansatte"	"2017 I alt"	"2017 Heltidsansatte"	"2017 Deltidsansatte"	"2018 I alt"	"2018 Heltidsansatte"	"2018 Deltidsansatte"	"2019 I alt"	"2019 Heltidsansatte"	"2019 Deltidsansatte"	"2020 I alt"	"2020 Heltidsansatte"	"2020 Deltidsansatte"	"2021 I alt"	"2021 Heltidsansatte"	"2021 Deltidsansatte"	"2022 I alt"	"2022 Heltidsansatte"	"2022 Deltidsansatte"
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"68.2 Utleie av egen eller leid fast eiendom"	"Menn"	48450	50710	38710	50190	52470	40250	51810	54020	40980	53570	55980	41790	55640	58110	43320	57680	60510	44560	61840	65040	46770	64010	67160	49460
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"68.2 Utleie av egen eller leid fast eiendom"	"Kvinner"	40420	42660	35520	41690	44110	36500	42750	45220	37270	44070	46820	37470	46430	49340	39290	47790	50680	40690	51330	55380	41250	54320	58300	44050
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"68.31 Eiendomsmegling"	"Begge kjønn"	60130	61280	43310	64880	67320	48930	63170	65580	48620	66020	68680	48350	67940	70180	50530	72470	74830	52660	74940	77080	56620	75890	77850	58970
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"68.31 Eiendomsmegling"	"Menn"	67670	68420	48370	73400	75890	54010	69670	72460	50170	72960	75830	49950	74540	77050	52860	79090	81580	54620	83180	85420	60900	83360	85480	63040
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"68.31 Eiendomsmegling"	"Kvinner"	49940	50960	40760	53080	54820	43890	53980	55380	46970	56400	58210	46800	58610	60200	47870	63190	65000	50640	63700	65290	52290	65640	67110	54430
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"69 Juridisk og regnskapsmessig tjenesteyting"	"Begge kjønn"	48520	49830	41020	49930	51270	41640	51130	52400	42710	52810	54060	43960	54570	55780	45320	56090	57390	45540	59540	60920	47730	62390	63760	49860
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"69 Juridisk og regnskapsmessig tjenesteyting"	"Menn"	55830	56430	48060	57120	57960	46370	58100	58950	46950	59760	60590	48470	61470	62230	50710	62880	63790	49390	66710	67580	53080	69300	70240	54400
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"69 Juridisk og regnskapsmessig tjenesteyting"	"Kvinner"	43780	44870	39350	45230	46300	40400	46610	47630	41560	48260	49310	42700	50050	51150	43750	51620	52800	44410	54770	56110	46150	57740	59080	48410
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"70 Hovedkontortjenester, administrativ rådgivning"	"Begge kjønn"	59490	60890	46520	59750	61680	43430	60380	62360	43260	63270	65430	44590	64670	66970	44760	66670	68880	47780	70020	72420	48640	74700	77170	50840
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"70 Hovedkontortjenester, administrativ rådgivning"	"Menn"	65390	66360	52470	65670	67480	46340	66050	67970	45430	69450	71660	46560	70420	72780	46530	72500	74540	51190	76770	79110	51390	82220	84730	53050
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"70 Hovedkontortjenester, administrativ rådgivning"	"Kvinner"	49000	50290	41490	49300	50780	40310	50560	52070	40910	52720	54280	42320	55100	56910	42660	57010	59010	44100	59420	61400	45760	63080	64990	48500
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"71 Arkitekter og tekniske konsulenter"	"Begge kjønn"	57980	58590	50920	58620	59420	48990	59860	60560	50810	60830	61520	51290	63310	63940	54010	64350	64980	54970	68690	69460	57070	70340	70940	60480
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"71 Arkitekter og tekniske konsulenter"	"Menn"	60480	60810	54880	60840	61360	51230	62080	62520	53460	62790	63270	53080	65280	65740	55650	66270	66710	56810	71010	71590	58860	72400	72840	62520
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"71 Arkitekter og tekniske konsulenter"	"Kvinner"	51150	51890	46700	52530	53500	46770	53860	54740	48200	55550	56400	49440	57970	58700	52270	59230	60010	53000	62710	63600	55070	65170	65910	58190
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"72 Forskning og utviklingsarbeid"	"Begge kjønn"	58900	59270	55910	60300	60880	55460	61960	62560	56860	63290	63710	59370	65650	66170	60680	66430	66910	61470	68960	69470	63660	72030	72520	66510
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"72 Forskning og utviklingsarbeid"	"Menn"	62760	62890	61370	63810	64240	59100	65440	65840	61080	66390	66630	63780	68970	69310	64980	69750	70000	66730	72740	73080	68630	75840	76210	71180
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"72 Forskning og utviklingsarbeid"	"Kvinner"	52710	53070	50550	54780	55230	52020	56550	57130	52840	58430	58940	54710	60650	61230	56290	61530	62210	55740	63530	64120	58160	66660	67220	61330
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"73 Reklamevirksomhet og markedsundersøkelser"	"Begge kjønn"	44450	47200	31280	46160	47970	34830	47630	49390	35820	48570	50460	35300	50230	52170	35700	52730	54740	37700	55050	57050	38320	58030	59830	41150
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"73 Reklamevirksomhet og markedsundersøkelser"	"Menn"	46960	49720	30980	49360	51180	35470	51010	52900	36450	52220	54230	35750	53670	55680	36210	55980	58110	38300	58450	60570	39090	61470	63410	41640
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"73 Reklamevirksomhet og markedsundersøkelser"	"Kvinner"	41150	43660	31560	42210	43770	34280	43500	44940	35230	44070	45620	34870	46010	47700	35230	48610	50360	37090	50800	52550	37510	53900	55460	40660
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"77 Utleie- og leasingvirksomhet"	"Begge kjønn"	44490	45910	34220	45180	46100	35680	46120	46970	36430	46830	47710	37270	48680	49580	37340	50590	51610	36590	52900	54030	38720	53990	55190	39550
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"77 Utleie- og leasingvirksomhet"	"Menn"	45120	46400	34150	45850	46690	35230	46580	47360	35430	47320	48090	37120	49340	50200	36940	51110	52020	35740	52980	53980	37990	54350	55500	38680
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"77 Utleie- og leasingvirksomhet"	"Kvinner"	42010	43770	34380	42470	43480	36590	44220	45220	38320	44790	45970	37590	46120	47080	38230	48540	49880	38220	52570	54240	40230	52640	54000	41570
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"78 Arbeidskrafttjenester"	"Begge kjønn"	35460	37390	32290	35540	36760	32440	36380	37090	33280	38030	38720	34880	40010	40820	36120	40630	41650	36430	42470	43980	38100	45140	46470	40560
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"78 Arbeidskrafttjenester"	"Menn"	35750	37800	32010	35820	36910	32550	36730	37380	33540	38500	39140	35280	40270	40970	36600	41070	41930	37060	42910	44210	38780	45560	46770	41010
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"78 Arbeidskrafttjenester"	"Kvinner"	34760	36260	32850	34800	36290	32230	35460	36260	32770	36690	37440	33990	39260	40380	35090	39510	40870	35240	41400	43360	36790	44060	45640	39660
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"79 Reisebyråer og reisearrangører"	"Begge kjønn"	38530	40080	33130	39560	40800	34110	40570	41720	35360	42020	43360	35530	42480	43570	36790	42230	44270	35060	44590	46180	37370	47030	48430	39490
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"79 Reisebyråer og reisearrangører"	"Menn"	42060	44160	33620	43130	44870	33780	44690	46380	35810	46180	47980	36220	46270	47690	37430	46610	48540	37660	48450	50590	38240	50920	53010	40300
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"79 Reisebyråer og reisearrangører"	"Kvinner"	36680	37840	32920	37730	38590	34240	38450	39240	35160	39780	40780	35220	40510	41330	36520	39680	41550	33970	42270	43490	36880	44770	45810	38970
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"80 Vakttjeneste og etterforsking"	"Begge kjønn"	34920	36230	32090	36480	37430	34150	37240	38720	34170	38220	39750	34990	38520	39780	35530	40060	41800	36240	40560	42590	36560	41740	43730	37930
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"80 Vakttjeneste og etterforsking"	"Menn"	35560	36980	32260	37190	38220	34450	37930	39460	34490	38790	40470	35110	39140	40470	35860	40900	42770	36620	41210	43360	36870	42460	44660	38110
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"80 Vakttjeneste og etterforsking"	"Kvinner"	32850	33580	31630	34180	34600	33350	35030	36070	33300	36340	37250	34650	36500	37420	34580	37380	38520	35130	38370	39910	35570	39390	40540	37410
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"81 Tjenester tilknyttet eiendomsdrift"	"Begge kjønn"	32320	34050	29130	33510	35130	30380	34360	35910	31180	35170	36740	31830	36480	38050	33020	36930	38860	32690	38450	40680	33910	40200	42450	35730
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"81 Tjenester tilknyttet eiendomsdrift"	"Menn"	34060	35650	29830	35310	36650	31080	36190	37420	31960	37170	38360	32740	38550	39720	33920	39390	40800	33710	40950	42550	34770	42850	44420	36840
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"81 Tjenester tilknyttet eiendomsdrift"	"Kvinner"	30320	31660	28640	31460	32700	29950	32230	33440	30730	32860	34080	31320	34150	35380	32550	34240	35860	32180	35770	37710	33500	37420	39360	35220
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"81.2 Rengjøringsvirksomhet"	"Begge kjønn"	31490	33250	28800	32690	34430	30140	33320	34910	30980	34040	35640	31600	35310	36920	32830	35480	37520	32370	37050	39430	33690	38650	40950	35490
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"81.2 Rengjøringsvirksomhet"	"Menn"	33320	35250	29300	34650	36500	30710	35300	37020	31640	36160	37820	32330	37590	39290	33610	38180	40290	33130	39770	42160	34370	41470	43700	36430
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"81.2 Rengjøringsvirksomhet"	"Kvinner"	30030	31280	28520	31140	32310	29840	31790	32810	30640	32410	33450	31230	33650	34670	32460	33620	34990	32040	35190	36900	33400	36770	38420	35110
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"82 Forretningsmessig tjenesteyting ellers"	"Begge kjønn"	44610	47070	32920	44920	46830	34240	45790	47760	34500	46820	48740	34950	48020	49980	35060	49310	52120	34770	51020	54280	35400	53750	56790	36660
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"82 Forretningsmessig tjenesteyting ellers"	"Menn"	49300	51710	33850	48870	50930	34550	49370	51510	34520	50190	52130	35090	51560	53670	35180	53090	56700	34170	54520	58780	34760	57580	61320	36090
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"82 Forretningsmessig tjenesteyting ellers"	"Kvinner"	39320	41280	32280	40430	41850	34000	41610	43130	34480	42760	44380	34850	43780	45370	34950	44720	46520	35490	46580	48650	36260	48970	51100	37330
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"84.11 Generell offentlig administrasjon"	"Begge kjønn"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"84.11 Generell offentlig administrasjon"	"Menn"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"84.11 Generell offentlig administrasjon"	"Kvinner"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"84.12 Offentlig adm. tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern"	"Begge kjønn"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"84.12 Offentlig adm. tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern"	"Menn"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"84.12 Offentlig adm. tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern"	"Kvinner"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"84.13 Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked"	"Begge kjønn"	:	:	:	:	:	:	:	:	.	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"84.13 Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked"	"Menn"	:	:	:	:	:	:	:	:	.	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"84.13 Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked"	"Kvinner"	:	:	:	:	:	:	:	:	.	:	:	:	:	:	:	:	:	.	:	:	:	:	:	:
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"84.21 Utenrikssaker"	"Begge kjønn"	.	.	.	.	.	.	.	.	.	:	:	.	.	.	.	.	.	.	.	.	.	.	.	.
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"84.21 Utenrikssaker"	"Menn"	.	.	.	.	.	.	.	.	.	:	:	.	.	.	.	.	.	.	.	.	.	.	.	.
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"84.21 Utenrikssaker"	"Kvinner"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"84.22 Forsvar"	"Begge kjønn"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"84.22 Forsvar"	"Menn"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"84.22 Forsvar"	"Kvinner"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"84.23 Retts- og fengselsvesen"	"Begge kjønn"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"84.23 Retts- og fengselsvesen"	"Menn"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"84.23 Retts- og fengselsvesen"	"Kvinner"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"84.24 Politi- og påtalemyndighet"	"Begge kjønn"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"84.24 Politi- og påtalemyndighet"	"Menn"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"84.24 Politi- og påtalemyndighet"	"Kvinner"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"84.25 Brannvern"	"Begge kjønn"	:	:	.	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"84.25 Brannvern"	"Menn"	:	:	.	:	:	:	:	:	:	:	:	:	:	:	:	:	:	.	:	:	:	:	:	:
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"84.25 Brannvern"	"Kvinner"	.	.	.	:	:	.	:	:	.	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"84.30 Trygdeordninger underlagt offentlig forvaltning"	"Begge kjønn"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"84.30 Trygdeordninger underlagt offentlig forvaltning"	"Menn"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"84.30 Trygdeordninger underlagt offentlig forvaltning"	"Kvinner"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"85.1-85.2 Førskole- og grunnskoleundervisning"	"Begge kjønn"	37840	39110	35990	38540	39890	36520	39610	41040	37440	40450	41980	38060	42170	43960	39250	42670	44300	40020	44450	46380	41170	45660	47520	42290
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"85.1-85.2 Førskole- og grunnskoleundervisning"	"Menn"	38780	40180	35600	39530	40650	36880	40750	42180	37790	41400	42920	38140	43110	44960	39030	43550	45340	39560	45290	47410	40550	46750	48470	42290
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"85.1-85.2 Førskole- og grunnskoleundervisning"	"Kvinner"	37480	38590	36090	38140	39510	36420	39140	40490	37330	40040	41500	38040	41780	43480	39320	42320	43800	40170	44100	45900	41370	45210	47060	42290
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"85.3 Undervisning på videregående skoles nivå"	"Begge kjønn"	42830	44380	39900	43860	45600	40710	45220	46880	42210	46140	47980	42870	48240	50050	44840	48680	50880	44490	50670	52890	46160	51040	52870	47280
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"85.3 Undervisning på videregående skoles nivå"	"Menn"	44590	45940	41130	45450	46850	41890	46860	48260	43550	47500	49240	43600	49720	51360	45880	49810	51600	45220	52120	54000	47190	52330	53840	48280
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"85.3 Undervisning på videregående skoles nivå"	"Kvinner"	41130	42550	39100	42340	44100	39950	43690	45350	41320	44870	46610	42360	46860	48650	44110	47620	50070	44020	49350	51700	45460	49850	51830	46620
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"85.4 Undervisning i høyere utdanning"	"Begge kjønn"	47210	48690	40870	47330	48870	40960	48380	49930	41550	50850	52930	42380	52130	54160	43700	53390	55630	43840	55080	57510	44660	56680	58710	47190
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"85.4 Undervisning i høyere utdanning"	"Menn"	50940	52430	43990	50230	51660	43660	51470	53280	43540	53970	56520	43910	55950	58360	45860	56910	59660	44950	58830	61870	46450	60150	62610	49240
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"85.4 Undervisning i høyere utdanning"	"Kvinner"	44260	45650	38700	45070	46620	39140	46020	47380	40030	48520	50290	41190	49320	51060	42120	50830	52670	43050	52480	54550	43330	54310	56090	45690
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"85.5-85.6 Annen undervisning og tjenester tilknyttet undervisning"	"Begge kjønn"	40080	40960	37210	41210	42160	37710	42060	43030	38540	43130	44150	39280	44330	45210	40910	44880	45880	41040	47210	48470	42470	49170	50680	43370
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"85.5-85.6 Annen undervisning og tjenester tilknyttet undervisning"	"Menn"	42580	43100	40000	43910	44630	39900	44760	45610	40300	45780	46700	40830	46940	47630	43040	47580	48310	43480	50030	51070	44420	52070	53280	45270
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"85.5-85.6 Annen undervisning og tjenester tilknyttet undervisning"	"Kvinner"	37470	38290	35600	38600	39370	36520	39440	40150	37530	40510	41280	38370	41750	42460	39660	42260	43170	39640	44410	45510	41310	46360	47790	42300
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"86 Helsetjenester"	"Begge kjønn"	42150	44740	37300	43340	45770	38330	44720	47220	39400	46270	48830	40640	47770	50490	41690	48600	51510	42090	50890	53770	44080	53350	56300	45920
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"86 Helsetjenester"	"Menn"	51600	53340	43450	53170	54950	44330	54740	56600	45460	56290	58250	46670	58410	60680	47230	59080	61470	48000	61380	63910	50110	64610	67260	52110
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"86 Helsetjenester"	"Kvinner"	39000	40770	36420	40120	41740	37460	41390	43100	38490	42880	44700	39680	44210	46090	40810	45020	47180	41080	47290	49490	42950	49490	51730	44770
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"86.1 Sykehustjenester"	"Begge kjønn"	44020	46050	40310	45290	47330	41340	46970	48970	42970	48650	50650	44540	50120	52320	45460	50630	52700	46030	53160	55250	48290	55450	57530	50390
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"86.1 Sykehustjenester"	"Menn"	49950	52270	42350	51460	53630	43930	53000	55260	45160	53990	56300	46110	56680	59290	47540	56790	59140	48530	59290	61970	50380	62130	64960	52230
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"86.1 Sykehustjenester"	"Kvinner"	42100	43510	39920	43320	44810	40850	44960	46390	42520	46880	48390	44210	47950	49540	45030	48550	50140	45480	51070	52650	47780	53200	54690	49960
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"87 Pleie og omsorg i institusjon"	"Begge kjønn"	37000	38320	35540	38670	39630	37410	39590	40400	38510	40820	41620	39740	42290	42990	41260	42800	43520	41740	44790	45810	43410	45720	46530	44510
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"87 Pleie og omsorg i institusjon"	"Menn"	37300	38230	35570	39030	39880	37310	39910	40650	38470	40890	41550	39610	42090	42670	40920	42670	43220	41630	44540	45320	43170	45520	45890	44810
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"87 Pleie og omsorg i institusjon"	"Kvinner"	36880	38370	35530	38510	39500	37440	39460	40270	38530	40790	41660	39790	42390	43180	41390	42870	43720	41790	44930	46120	43520	45830	46950	44370
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"88.1 Sosialtjenester uten botilbud for eldre og funksjonshemmede"	"Begge kjønn"	33700	35520	32760	35370	34680	35670	35680	35090	35980	37060	36000	37630	37840	38610	37420	38900	39210	38710	40020	42230	39050	41520	44050	40440
"Månedslønn (kr)"	"Gjennomsnitt"	"Alle yrker"	"Privat sektor og offentlige eide foretak"	"88.1 Sosialtjenester uten botilbud for eldre og funksjonshemmede"	"Menn"	34830	36880	33550	36220	34980	36790	36950	36450	37220	38110	36700	38890	39300	40650	38440	40550	41040	40200	41490	44030	40070	43000	45870	41510
